state_label,region_label,census_division_label,marital_status_label,living_arrangement_label,marital_net_label,gender_age_net_label,national_weight,census_division_weight,state_weight
New Hampshire,Northeast,New England,Married,Live with spouse/partner,Married,Female 65+,0.350735,0.499246,0.785518
Iowa,Midwest,West North Central,Married,Live with spouse/partner,Married,Female 55–64,0.413512,0.909951,0.827536
Iowa,Midwest,West North Central,Married,Live with spouse/partner,Married,Female 18–24,0.379983,0.861749,0.747402
Kansas,Midwest,West North Central,Widowed/widower,Only adult in household,Single,Female 65+,0.413512,0.824934,0.83248
Iowa,Midwest,West North Central,Widowed/widower,Only adult in household,Single,Female 55–64,0.493044,1.065734,1.045971
New Mexico,West,Mountain,Married,Live with spouse/partner,Married,Female 55–64,0.894738,0.850778,1.489977
Utah,West,Mountain,Married,Live with spouse/partner,Married,Female 55–64,0.389766,0.918356,0.870197
Rhode Island,Northeast,New England,Divorced,Live with family/friends/roommates,Single,Male 65+,0.329072,0.362039,0.884272
Arkansas,South,West South Central,Widowed/widower,Only adult in household,Single,Male 65+,1.196127,0.240135,1.289904
Kansas,Midwest,West North Central,Married,Live with spouse/partner,Married,Female 65+,0.413512,0.824934,0.83248
District of Columbia,South,South Atlantic,Single,Live with spouse/partner,Living with partner,Female 35–44,0.918587,0.085769,0.787362
Kansas,Midwest,West North Central,Married,Live with spouse/partner,Married,Female 65+,0.493044,0.966162,1.138938
Utah,West,Mountain,Married,Live with spouse/partner,Married,Female 55–64,0.464731,1.07161,1.02156
Oklahoma,South,West South Central,Married,Live with spouse/partner,Married,Female 55–64,1.488421,0.400879,1.074099
Delaware,South,South Atlantic,Married,Live with spouse/partner,Married,Male 65+,1.44153,0.156965,1.456185
Mississippi,South,East South Central,Divorced,Live with spouse/partner,Living with partner,Female 25–34,0.621622,0.74174,0.918188
Idaho,West,Mountain,Married,Live with spouse/partner,Married,Male 45–54,0.429514,0.6419,0.989392
Nebraska,Midwest,West North Central,Single,Live with spouse/partner,Living with partner,Female 35–44,0.454823,0.632338,1.01326
New Hampshire,Northeast,New England,Married,Live with spouse/partner,Married,Female 55–64,0.350735,0.499246,0.785518
District of Columbia,South,South Atlantic,Married,Live with spouse/partner,Married,Female 45–54,0.919874,0.080023,0.822646
Nebraska,Midwest,West North Central,Married,Live with spouse/partner,Married,Female 35–44,0.381456,0.539906,0.847823
Montana,West,Mountain,Divorced,Only adult in household,Single,Female 55–64,0.464731,0.390666,0.952302
Idaho,West,Mountain,Divorced,Only adult in household,Single,Female 65+,0.389766,0.557121,0.689238
New Hampshire,Northeast,New England,Married,Live with spouse/partner,Married,Female 35–44,0.385775,0.55333,0.996158
Kansas,Midwest,West North Central,Married,Live with spouse/partner,Married,Female 25–34,0.453067,0.914983,0.97849
New Hampshire,Northeast,New England,Single,Only adult in household,Single,Female 65+,0.350735,0.499246,0.785518
Wyoming,West,Mountain,Married,Live with spouse/partner,Married,Male 65+,0.436026,0.183105,1.013997
New Mexico,West,Mountain,Divorced,Only adult in household,Single,Male 65+,0.365691,0.525329,0.745945
Nebraska,Midwest,West North Central,Married,Live with spouse/partner,Married,Male 45–54,0.446194,0.59314,1.048031
Utah,West,Mountain,Married,Live with spouse/partner,Married,Male 35–44,0.352729,0.828686,0.785036
Hawaii,West,Pacific,Married,Live with spouse/partner,Married,Male 65+,1.809971,0.125559,0.663013
Utah,West,Mountain,Married,Live with spouse/partner,Married,Female 45–54,0.428704,0.982342,0.963731
Mississippi,South,East South Central,Widowed/widower,Only adult in household,Single,Female 65+,0.789787,0.626947,1.085418
Maine,Northeast,New England,Divorced,Live with family/friends/roommates,Single,Female 55–64,0.350735,0.496978,0.857135
Arkansas,South,West South Central,Married,Live with spouse/partner,Married,Female 45–54,1.151555,0.251966,0.785809
Nebraska,Midwest,West North Central,Married,Live with spouse/partner,Married,Female 65+,0.493044,0.641397,0.978644
Rhode Island,Northeast,New England,Married,Live with spouse/partner,Married,Female 65+,0.418193,0.454311,0.89659
Iowa,Midwest,West North Central,Married,Live with spouse/partner,Married,Female 65+,0.493044,1.065734,1.045971
Nebraska,Midwest,West North Central,Married,Live with spouse/partner,Married,Female 25–34,0.453067,0.607421,1.055611
Maine,Northeast,New England,Married,Live with spouse/partner,Married,Female 65+,0.350735,0.496978,0.857135
Arkansas,South,West South Central,Married,Live with spouse/partner,Married,Female 55–64,1.488421,0.307358,1.085042
Nebraska,Midwest,West North Central,Divorced,Only adult in household,Single,Female 65+,0.413512,0.547641,0.818859
Mississippi,South,East South Central,Married,Live with spouse/partner,Married,Male 35–44,0.599447,0.489434,0.834243
Iowa,Midwest,West North Central,Married,Live with spouse/partner,Married,Female 65+,0.413512,0.909951,0.827536
Iowa,Midwest,West North Central,Separated,Only adult in household,Single,Female 45–54,0.454823,1.050682,1.122607
West Virginia,South,South Atlantic,Divorced,Live with spouse/partner,Living with partner,Male 45–54,1.074483,0.238627,1.011929
South Dakota,Midwest,West North Central,Widowed/widower,Only adult in household,Single,Female 65+,0.413512,0.257724,0.80706
Utah,West,Mountain,Single,Live with family/friends/roommates,Single,Male 35–44,0.420571,0.966976,0.921586
Nebraska,Midwest,West North Central,Widowed/widower,Only adult in household,Single,Female 65+,0.493044,0.641397,0.978644
Rhode Island,Northeast,New England,Married,Live with spouse/partner,Married,Female 65+,0.418193,0.454311,0.89659
Nebraska,Midwest,West North Central,Married,Live with spouse/partner,Married,Male 55–64,0.387971,0.495624,0.738605
Iowa,Midwest,West North Central,Married,Live with spouse/partner,Married,Male 65+,0.462591,0.964508,0.980055
Mississippi,South,East South Central,Married,Live with spouse/partner,Married,Female 65+,0.662388,0.547124,0.853621
Arkansas,South,West South Central,Divorced,Only adult in household,Single,Female 65+,1.248326,0.248132,0.790101
New Hampshire,Northeast,New England,Single,Live with spouse/partner,Living with partner,Female 25–34,0.322296,0.473471,0.908811
Iowa,Midwest,West North Central,Single,Live with spouse/partner,Living with partner,Female 25–34,0.872282,1.428312,1.246227
Iowa,Midwest,West North Central,Married,Live with spouse/partner,Married,Female 35–44,0.381456,0.897099,0.888168
Kansas,Midwest,West North Central,Single,Only adult in household,Single,Male 65+,0.462591,0.874393,1.044942
Iowa,Midwest,West North Central,Single,Live with spouse/partner,Living with partner,Male 18–24,0.451927,1.216057,1.013415
Maine,Northeast,New England,Married,Live with spouse/partner,Married,Male 55–64,0.329072,0.478335,0.820456
Nebraska,Midwest,West North Central,Married,Live with spouse/partner,Married,Female 35–44,0.875663,0.894871,1.778907
Indiana,Midwest,East North Central,Married,Live with spouse/partner,Married,Male 45–54,1.131664,0.560814,0.785705
New Hampshire,Northeast,New England,Married,Live with spouse/partner,Married,Female 45–54,0.385775,0.55333,0.996158
Iowa,Midwest,West North Central,Married,Live with spouse/partner,Married,Female 35–44,0.454823,1.050682,1.122607
Utah,West,Mountain,Single,Live with spouse/partner,Living with partner,Female 25–34,0.427049,0.976637,0.976428
Delaware,South,South Atlantic,Married,Live with spouse/partner,Married,Female 55–64,0.995781,0.125709,0.692322
Maryland,South,South Atlantic,Married,Live with spouse/partner,Married,Female 55–64,1.187303,0.842074,1.124177
Iowa,Midwest,West North Central,Separated,Only adult in household,Single,Male 65+,0.387971,0.823521,0.775385
Iowa,Midwest,West North Central,Divorced,Only adult in household,Single,Female 55–64,0.422305,1.067117,1.137969
Mississippi,South,East South Central,Single,Live with family/friends/roommates,Single,Male 25–34,1.661823,1.149951,1.359274
Mississippi,South,East South Central,Single,Only adult in household,Single,Male 55–64,0.741006,0.570017,1.06632
Maine,Northeast,New England,Married,Live with spouse/partner,Married,Female 65+,0.350735,0.496978,0.857135
Nebraska,Midwest,West North Central,Married,Live with spouse/partner,Married,Female 35–44,0.454823,0.632338,1.01326
Iowa,Midwest,West North Central,Married,Live with spouse/partner,Married,Female 35–44,0.734411,1.269555,1.17167
Iowa,Midwest,West North Central,Widowed/widower,Only adult in household,Single,Female 65+,0.493044,1.065734,1.045971
Nebraska,Midwest,West North Central,Married,Live with spouse/partner,Married,Female 55–64,0.493044,0.641397,0.978644
New Mexico,West,Mountain,Married,Live with spouse/partner,Married,Female 45–54,0.359551,0.517885,0.625272
Arkansas,South,West South Central,Widowed/widower,Live with family/friends/roommates,Single,Female 55–64,1.490507,0.282542,1.07117
Mississippi,South,East South Central,Married,Live with spouse/partner,Married,Female 35–44,0.611039,0.529151,0.857892
Arkansas,South,West South Central,Married,Live with spouse/partner,Married,Female 55–64,1.488421,0.307358,1.085042
Nebraska,Midwest,West North Central,Married,Live with spouse/partner,Married,Female 45–54,0.381456,0.539906,0.847823
Utah,West,Mountain,Married,Live with spouse/partner,Married,Female 65+,0.389766,0.918356,0.870197
Mississippi,South,East South Central,Divorced,Only adult in household,Single,Female 45–54,0.611039,0.529151,0.857892
New Hampshire,Northeast,New England,Married,Live with spouse/partner,Married,Female 55–64,0.418193,0.602987,1.047031
Mississippi,South,East South Central,Divorced,Only adult in household,Single,Female 55–64,0.790894,0.583421,1.087249
Delaware,South,South Atlantic,Divorced,Only adult in household,Single,Female 55–64,1.187303,0.146285,1.066306
Arkansas,South,West South Central,Married,Live with spouse/partner,Married,Female 45–54,1.151555,0.251966,0.785809
Idaho,West,Mountain,Divorced,Only adult in household,Single,Female 55–64,0.389766,0.557121,0.689238
New York,Northeast,Middle Atlantic,Married,Live with spouse/partner,Married,Female 65+,1.735925,1.251613,0.888419
Pennsylvania,Northeast,Middle Atlantic,Married,Live with spouse/partner,Married,Male 55–64,1.941959,0.968699,0.895216
West Virginia,South,South Atlantic,Widowed/widower,Live with spouse/partner,Living with partner,Female 45–54,1.095263,0.242046,1.058082
Maine,Northeast,New England,Married,Live with spouse/partner,Married,Female 35–44,0.323546,0.456051,0.826955
Maine,Northeast,New England,Divorced,Live with spouse/partner,Living with partner,Male 35–44,0.317408,0.457303,0.833793
Delaware,South,South Atlantic,Single,Live with family/friends/roommates,Single,Female 45–54,1.095263,0.143641,1.066582
Idaho,West,Mountain,Widowed/widower,Only adult in household,Single,Male 65+,0.436026,0.604504,1.153073
Utah,West,Mountain,Married,Live with spouse/partner,Married,Female 65+,0.464731,1.07161,1.02156
South Dakota,Midwest,West North Central,Married,Live with spouse/partner,Married,Male 65+,0.387971,0.233245,0.9455
Iowa,Midwest,West North Central,Divorced,Only adult in household,Single,Female 45–54,0.454823,1.050682,1.122607
Kansas,Midwest,West North Central,Married,Live with spouse/partner,Married,Female 65+,0.413512,0.824934,0.83248
Alaska,West,Pacific,Married,Live with spouse/partner,Married,Male 45–54,1.131488,0.054014,0.866819
Utah,West,Mountain,Married,Live with spouse/partner,Married,Female 25–34,0.82219,1.260424,1.568267
New Hampshire,Northeast,New England,Married,Live with spouse/partner,Married,Female 55–64,0.350735,0.499246,0.785518
Mississippi,South,East South Central,Married,Live with spouse/partner,Married,Male 55–64,1.426646,0.956119,1.581007
West Virginia,South,South Atlantic,Married,Live with spouse/partner,Married,Female 55–64,2.285896,0.267043,1.668567
Kansas,Midwest,West North Central,Married,Live with spouse/partner,Married,Female 25–34,0.379983,0.781235,0.715204
Utah,West,Mountain,Married,Live with spouse/partner,Married,Male 65+,0.365691,0.853955,0.655397
Montana,West,Mountain,Married,Live with spouse/partner,Married,Female 25–34,0.427049,0.356043,1.046668
Idaho,West,Mountain,Married,Live with spouse/partner,Married,Female 45–54,0.43782,0.652101,1.042117
Utah,West,Mountain,Widowed/widower,Live with family/friends/roommates,Single,Female 65+,0.389766,0.918356,0.870197
West Virginia,South,South Atlantic,Married,Live with spouse/partner,Married,Female 35–44,0.918587,0.208,0.788136
Iowa,Midwest,West North Central,Married,Live with spouse/partner,Married,Female 65+,0.493044,1.065734,1.045971
Arkansas,South,West South Central,Divorced,Live in parents’ home,Single,Female 45–54,1.151555,0.251966,0.785809
West Virginia,South,South Atlantic,Married,Live with spouse/partner,Married,Female 65+,1.187303,0.246501,1.07605
Iowa,Midwest,West North Central,Single,Only adult in household,Single,Male 65+,0.462591,0.964508,0.980055
Nebraska,Midwest,West North Central,Divorced,Live with spouse/partner,Living with partner,Male 65+,0.387971,0.495624,0.738605
Hawaii,West,Pacific,Single,Live with spouse/partner,Living with partner,Female 55–64,1.250293,0.107088,0.620552
Wyoming,West,Mountain,Divorced,Live with spouse/partner,Living with partner,Female 45–54,0.428704,0.18051,0.661313
Rhode Island,Northeast,New England,Married,Live with spouse/partner,Married,Female 25–34,0.384285,0.430855,0.97872
Mississippi,South,East South Central,Divorced,Live in parents’ home,Single,Male 35–44,0.71474,0.56084,1.060778
Arkansas,South,West South Central,Married,Live with spouse/partner,Married,Male 55–64,1.398445,0.291053,1.053514
Mississippi,South,East South Central,Divorced,Only adult in household,Single,Female 25–34,0.725749,0.616887,0.951607
Utah,West,Mountain,Married,Live with spouse/partner,Married,Female 25–34,0.427049,0.976637,0.976428
Iowa,Midwest,West North Central,Divorced,Only adult in household,Single,Female 35–44,0.381456,0.897099,0.888168
District of Columbia,South,South Atlantic,Divorced,Live with family/friends/roommates,Single,Female 55–64,1.188967,0.094835,0.905837
Idaho,West,Mountain,Married,Live with spouse/partner,Married,Female 65+,0.389766,0.557121,0.689238
New Hampshire,Northeast,New England,Married,Live with spouse/partner,Married,Female 45–54,0.323546,0.458133,0.747351
Maine,Northeast,New England,Married,Live with spouse/partner,Married,Female 65+,0.350735,0.496978,0.857135
New Mexico,West,Mountain,Single,Only adult in household,Single,Female 45–54,0.428704,0.604308,0.700461
West Virginia,South,South Atlantic,Single,Live with spouse/partner,Living with partner,Female 35–44,1.095263,0.242046,1.058082
Nebraska,Midwest,West North Central,Single,Live with spouse/partner,Living with partner,Female 25–34,0.453067,0.607421,1.055611
Maine,Northeast,New England,Divorced,Live in parents’ home,Single,Female 35–44,0.385775,0.550816,1.021152
Nebraska,Midwest,West North Central,Married,Live with spouse/partner,Married,Female 25–34,0.453067,0.607421,1.055611
Iowa,Midwest,West North Central,Divorced,Only adult in household,Single,Female 45–54,0.381456,0.897099,0.888168
Maine,Northeast,New England,Married,Live with spouse/partner,Married,Female 65+,0.350735,0.496978,0.857135
New Hampshire,Northeast,New England,Married,Live with spouse/partner,Married,Male 35–44,0.317408,0.459391,0.823282
Nebraska,Midwest,West North Central,Married,Live with spouse/partner,Married,Male 65+,0.387971,0.495624,0.738605
Kansas,Midwest,West North Central,Married,Live with spouse/partner,Married,Male 65+,0.462591,0.874393,1.044942
Kansas,Midwest,West North Central,Married,Live with spouse/partner,Married,Female 65+,0.413512,0.824934,0.83248
Iowa,Midwest,West North Central,Married,Live with spouse/partner,Married,Female 45–54,0.454823,1.050682,1.122607
Nebraska,Midwest,West North Central,Single,Live with family/friends/roommates,Single,Female 45–54,0.454823,0.632338,1.01326
Delaware,South,South Atlantic,Widowed/widower,Only adult in household,Single,Female 55–64,0.995781,0.125709,0.692322
Rhode Island,Northeast,New England,Divorced,Only adult in household,Single,Female 55–64,0.418193,0.454311,0.89659
New Mexico,West,Mountain,Divorced,Only adult in household,Single,Male 45–54,0.420571,0.594856,0.718625
Kansas,Midwest,West North Central,Married,Live with spouse/partner,Married,Male 55–64,0.462591,0.874393,1.044942
Delaware,South,South Atlantic,Married,Live with spouse/partner,Married,Female 45–54,0.918587,0.123437,0.692501
Arkansas,South,West South Central,Married,Live with spouse/partner,Married,Female 45–54,1.373038,0.312107,1.079149
New Hampshire,Northeast,New England,Married,Live with spouse/partner,Married,Female 55–64,0.418193,0.602987,1.047031
Vermont,Northeast,New England,Divorced,Live with family/friends/roommates,Single,Male 55–64,0.329072,0.225215,1.099455
Kansas,Midwest,West North Central,Divorced,Only adult in household,Single,Male 35–44,0.446194,0.893471,0.93442
South Dakota,Midwest,West North Central,Single,Live with spouse/partner,Living with partner,Female 18–24,0.379983,0.244072,0.870721
Mississippi,South,East South Central,Married,Live with spouse/partner,Married,Female 55–64,0.790894,0.583421,1.087249
Delaware,South,South Atlantic,Married,Live with spouse/partner,Married,Male 55–64,1.113969,0.138453,1.052704
Iowa,Midwest,West North Central,Married,Live with spouse/partner,Married,Female 45–54,0.454823,1.050682,1.122607
Maine,Northeast,New England,Married,Live with spouse/partner,Married,Female 35–44,0.385775,0.550816,1.021152
Alaska,West,Pacific,Single,Only adult in household,Single,Female 45–54,1.153369,0.055088,0.453946
Delaware,South,South Atlantic,Married,Live with spouse/partner,Married,Female 45–54,0.918587,0.123437,0.692501
Nebraska,Midwest,West North Central,Married,Live with spouse/partner,Married,Female 65+,0.493044,0.641397,0.978644
Arkansas,South,West South Central,Married,Live with spouse/partner,Married,Male 65+,1.171223,0.255607,0.777077
Idaho,West,Mountain,Married,Live with spouse/partner,Married,Female 35–44,0.367196,0.558842,0.633029
New Mexico,West,Mountain,Divorced,Live with family/friends/roommates,Single,Female 45–54,0.692237,0.668369,1.091804
Rhode Island,Northeast,New England,Divorced,Only adult in household,Single,Female 55–64,0.418193,0.454311,0.89659
Kansas,Midwest,West North Central,Married,Live with spouse/partner,Married,Male 45–54,0.374219,0.762868,0.682992
Rhode Island,Northeast,New England,Widowed/widower,Only adult in household,Single,Male 65+,0.329072,0.362039,0.884272
Utah,West,Mountain,Married,Live with spouse/partner,Married,Male 25–34,0.507903,1.13511,1.308771
Kansas,Midwest,West North Central,Divorced,Only adult in household,Single,Female 55–64,0.413512,0.824934,0.83248
Kansas,Midwest,West North Central,Married,Live with spouse/partner,Married,Male 35–44,0.374219,0.762868,0.682992
Maine,Northeast,New England,Divorced,Only adult in household,Single,Female 45–54,0.385775,0.550816,1.021152
Alabama,South,East South Central,Married,Live with spouse/partner,Married,Female 65+,0.789787,1.08952,1.067613
Maine,Northeast,New England,Married,Live with spouse/partner,Married,Female 55–64,0.350735,0.496978,0.857135
Alaska,West,Pacific,Single,Only adult in household,Single,Male 18–24,1.6639,0.066947,2.251624
New Hampshire,Northeast,New England,Married,Live with spouse/partner,Married,Male 45–54,0.317408,0.459391,0.823282
Idaho,West,Mountain,Divorced,Live with family/friends/roommates,Single,Female 45–54,0.43782,0.652101,1.042117
Utah,West,Mountain,Single,Live in parents’ home,Single,Male 18–24,0.518703,1.242086,2.380291
South Dakota,Midwest,West North Central,Married,Live with spouse/partner,Married,Female 55–64,0.413512,0.257724,0.80706
Utah,West,Mountain,Married,Live with spouse/partner,Married,Male 35–44,0.352729,0.828686,0.785036
Kansas,Midwest,West North Central,Married,Live with spouse/partner,Married,Male 55–64,0.462591,0.874393,1.044942
Iowa,Midwest,West North Central,Single,Only adult in household,Single,Female 65+,0.493044,1.065734,1.045971
Maine,Northeast,New England,Single,Live with spouse/partner,Living with partner,Male 35–44,0.317408,0.457303,0.833793
West Virginia,South,South Atlantic,Divorced,Only adult in household,Single,Female 65+,0.995781,0.21183,0.80152
Rhode Island,Northeast,New England,Married,Live with spouse/partner,Married,Female 35–44,0.385775,0.416898,0.770595
Arkansas,South,West South Central,Single,Live with family/friends/roommates,Single,Female 65+,1.248326,0.248132,0.790101
West Virginia,South,South Atlantic,Single,Only adult in household,Single,Female 55–64,1.187303,0.246501,1.07605
Arkansas,South,West South Central,Divorced,Only adult in household,Single,Female 45–54,1.153168,0.231623,0.775762
New Mexico,West,Mountain,Married,Live with spouse/partner,Married,Female 25–34,0.82219,0.775377,1.079915
Kansas,Midwest,West North Central,Married,Live with spouse/partner,Married,Female 65+,0.413512,0.824934,0.83248
Nebraska,Midwest,West North Central,Single,Only adult in household,Single,Female 25–34,0.379983,0.518631,0.883259
Kansas,Midwest,West North Central,Married,Live with spouse/partner,Married,Female 35–44,0.454823,0.952516,1.095181
Delaware,South,South Atlantic,Separated,Live with family/friends/roommates,Single,Male 65+,1.113969,0.138453,1.052704
Rhode Island,Northeast,New England,Single,Live in parents’ home,Single,Male 35–44,0.378456,0.418043,0.804858
Arkansas,South,West South Central,Married,Live with spouse/partner,Married,Male 45–54,1.346989,0.32342,0.974689
Kansas,Midwest,West North Central,Married,Live with spouse/partner,Married,Male 65+,0.387971,0.746579,0.763775
Utah,West,Mountain,Married,Live with spouse/partner,Married,Male 35–44,0.352729,0.828686,0.785036
Nebraska,Midwest,West North Central,Separated,Only adult in household,Single,Female 35–44,0.454823,0.632338,1.01326
Idaho,West,Mountain,Single,Live with spouse/partner,Living with partner,Female 25–34,0.427049,0.592477,1.078747
Oklahoma,South,West South Central,Single,Live in parents’ home,Single,Male 45–54,1.348876,0.38777,0.885471
West Virginia,South,South Atlantic,Single,Live with family/friends/roommates,Single,Male 35–44,0.90116,0.205063,0.753758
District of Columbia,South,South Atlantic,Married,Live with spouse/partner,Married,Male 35–44,0.90116,0.084558,0.768088
Iowa,Midwest,West North Central,Married,Live with spouse/partner,Married,Female 45–54,0.381456,0.897099,0.888168
Kansas,Midwest,West North Central,Married,Live with spouse/partner,Married,Female 55–64,0.413512,0.824934,0.83248
Utah,West,Mountain,Married,Live with spouse/partner,Married,Female 35–44,0.359551,0.841854,0.820937
Kansas,Midwest,West North Central,Married,Live with spouse/partner,Married,Female 65+,0.493044,0.966162,1.138938
District of Columbia,South,South Atlantic,Single,Live with spouse/partner,Living with partner,Female 25–34,0.91504,0.082191,1.037512
South Dakota,Midwest,West North Central,Divorced,Live with spouse/partner,Living with partner,Female 35–44,0.381456,0.254084,0.711808
Hawaii,West,Pacific,Single,Live with spouse/partner,Living with partner,Female 18–24,1.399019,0.128815,1.774783
Kansas,Midwest,West North Central,Married,Live with spouse/partner,Married,Male 35–44,0.374219,0.762868,0.682992
Wyoming,West,Mountain,Married,Live with spouse/partner,Married,Male 25–34,0.507903,0.208582,2.091278
Virginia,South,South Atlantic,Single,Live with family/friends/roommates,Single,Female 25–34,0.91504,0.974604,0.821799
Idaho,West,Mountain,Divorced,Only adult in household,Single,Male 45–54,0.429514,0.6419,0.989392
Utah,West,Mountain,Married,Live with spouse/partner,Married,Female 35–44,0.359551,0.841854,0.820937
New Jersey,Northeast,Middle Atlantic,Married,Live with spouse/partner,Married,Male 55–64,1.941959,0.672661,0.944703
Hawaii,West,Pacific,Single,Only adult in household,Single,Female 55–64,1.929124,0.125565,0.645479
Vermont,Northeast,New England,Single,Only adult in household,Single,Male 55–64,0.392363,0.272014,1.353896
Arkansas,South,West South Central,Married,Live with spouse/partner,Married,Female 55–64,1.248326,0.248132,0.790101
Arkansas,South,West South Central,Single,Live in parents’ home,Single,Female 18–24,1.367736,0.314926,0.956784
District of Columbia,South,South Atlantic,Married,Live with spouse/partner,Married,Male 45–54,1.734989,0.091604,1.25194
West Virginia,South,South Atlantic,Divorced,Live with spouse/partner,Living with partner,Female 45–54,1.095263,0.242046,1.058082
Connecticut,Northeast,New England,Divorced,Live with spouse/partner,Living with partner,Male 45–54,0.378456,1.340719,1.011177
West Virginia,South,South Atlantic,Married,Live with spouse/partner,Married,Female 55–64,1.187303,0.246501,1.07605
Rhode Island,Northeast,New England,Divorced,Only adult in household,Single,Female 65+,0.350735,0.376149,0.804689
Delaware,South,South Atlantic,Divorced,Live with family/friends/roommates,Single,Female 65+,0.997177,0.117287,0.607692
Utah,West,Mountain,Married,Live with spouse/partner,Married,Male 45–54,0.352729,0.828686,0.785036
Maine,Northeast,New England,Divorced,Only adult in household,Single,Female 45–54,0.385775,0.550816,1.021152
Utah,West,Mountain,Single,Only adult in household,Single,Female 25–34,0.689564,1.080168,1.335899
Utah,West,Mountain,Married,Live with spouse/partner,Married,Female 65+,0.389766,0.918356,0.870197
Maine,Northeast,New England,Single,Only adult in household,Single,Female 55–64,0.350735,0.496978,0.857135
Delaware,South,South Atlantic,Married,Live with spouse/partner,Married,Male 65+,1.113969,0.138453,1.052704
Utah,West,Mountain,Married,Live with spouse/partner,Married,Male 65+,0.365691,0.853955,0.655397
Iowa,Midwest,West North Central,Married,Live with spouse/partner,Married,Male 35–44,0.374219,0.841489,0.742831
District of Columbia,South,South Atlantic,Single,Only adult in household,Single,Female 45–54,1.768542,0.092917,1.283356
Nevada,West,Mountain,Divorced,Live with spouse/partner,Living with partner,Male 65+,0.365691,0.809732,0.807596
West Virginia,South,South Atlantic,Single,Live with spouse/partner,Living with partner,Male 55–64,0.934276,0.200488,0.785925
Kansas,Midwest,West North Central,Married,Live with spouse/partner,Married,Female 65+,0.413512,0.824934,0.83248
Nebraska,Midwest,West North Central,Married,Live with spouse/partner,Married,Male 65+,0.462591,0.580475,0.88273
Idaho,West,Mountain,Single,Only adult in household,Single,Male 35–44,0.420571,0.586616,1.009948
Nebraska,Midwest,West North Central,Married,Live with spouse/partner,Married,Male 65+,0.387971,0.495624,0.738605
Delaware,South,South Atlantic,Widowed/widower,Live with family/friends/roommates,Single,Female 65+,0.995781,0.125709,0.692322
New Hampshire,Northeast,New England,Widowed/widower,Only adult in household,Single,Female 65+,0.350735,0.499246,0.785518
New Mexico,West,Mountain,Married,Live with spouse/partner,Married,Male 65+,0.365691,0.525329,0.745945
Kansas,Midwest,West North Central,Widowed/widower,Only adult in household,Single,Female 55–64,0.493044,0.966162,1.138938
Wyoming,West,Mountain,Single,Live with spouse/partner,Living with partner,Female 55–64,0.464731,0.196914,0.953353
New Mexico,West,Mountain,Widowed/widower,Only adult in household,Single,Female 65+,0.464731,0.659224,0.853304
Idaho,West,Mountain,Widowed/widower,Only adult in household,Single,Female 65+,0.389766,0.557121,0.689238
Arkansas,South,West South Central,Single,Only adult in household,Single,Male 35–44,1.346989,0.32342,0.974689
North Carolina,South,South Atlantic,Divorced,Only adult in household,Single,Female 55–64,1.187303,1.499772,0.914763
Maine,Northeast,New England,Single,Live with spouse/partner,Living with partner,Female 18–24,0.322296,0.471319,0.876818
Delaware,South,South Atlantic,Single,Live with family/friends/roommates,Single,Female 65+,1.187303,0.146285,1.066306
New Mexico,West,Mountain,Single,Live with family/friends/roommates,Single,Female 18–24,0.82219,0.775377,1.079915
Nebraska,Midwest,West North Central,Married,Live with spouse/partner,Married,Male 65+,0.387971,0.495624,0.738605
Nebraska,Midwest,West North Central,Married,Live with spouse/partner,Married,Female 55–64,0.413512,0.547641,0.818859
Arkansas,South,West South Central,Married,Live with spouse/partner,Married,Female 65+,1.250076,0.228098,0.779999
Utah,West,Mountain,Married,Live with spouse/partner,Married,Female 45–54,0.359551,0.841854,0.820937
Rhode Island,Northeast,New England,Divorced,Live with spouse/partner,Living with partner,Female 65+,0.418193,0.454311,0.89659
Arkansas,South,West South Central,Widowed/widower,Only adult in household,Single,Female 65+,1.488421,0.307358,1.085042
Kansas,Midwest,West North Central,Single,Live with spouse/partner,Living with partner,Female 55–64,0.413512,0.824934,0.83248
Rhode Island,Northeast,New England,Married,Live with spouse/partner,Married,Female 65+,0.418193,0.454311,0.89659
Kansas,Midwest,West North Central,Single,Live with family/friends/roommates,Single,Female 55–64,0.493044,0.966162,1.138938
New Hampshire,Northeast,New England,Married,Live with spouse/partner,Married,Female 65+,0.418193,0.602987,1.047031
New Mexico,West,Mountain,Widowed/widower,Live with family/friends/roommates,Single,Female 45–54,0.359551,0.517885,0.625272
Montana,West,Mountain,Married,Live with spouse/partner,Married,Male 55–64,0.445298,0.397505,0.960104
Kansas,Midwest,West North Central,Married,Live with spouse/partner,Married,Male 55–64,0.387971,0.746579,0.763775
Alaska,West,Pacific,Married,Live with spouse/partner,Married,Male 65+,1.398688,0.078118,1.139233
Hawaii,West,Pacific,Married,Live with spouse/partner,Married,Female 65+,1.250293,0.107088,0.620552
Utah,West,Mountain,Married,Live with spouse/partner,Married,Female 35–44,0.359551,0.841854,0.820937
Idaho,West,Mountain,Single,Only adult in household,Single,Female 65+,0.464731,0.650092,1.134651
Kansas,Midwest,West North Central,Single,Live with family/friends/roommates,Single,Male 35–44,0.446194,0.893471,0.93442
North Dakota,Midwest,West North Central,Married,Live with spouse/partner,Married,Female 35–44,0.381456,0.220913,0.610871
Pennsylvania,Northeast,Middle Atlantic,Divorced,Live with spouse/partner,Living with partner,Male 55–64,1.628704,0.777402,0.784172
