age,education_level,occupation,number_of_dependents,location,work_experience,marital_status,employment_status,household_size,homeownership_status,type_of_housing,gender,primary_mode_of_transportation,income,log_income
22,Bachelor's,Healthcare,5,Rural,31,Single,Part-time,6,Own,Townhouse,Female,Public transit,3894078,15.174967752330474
29,Bachelor's,Finance,0,Urban,40,Single,Full-time,3,Rent,Apartment,Male,Public transit,75212,11.228079367337655
33,Bachelor's,Healthcare,5,Urban,31,Single,Self-employed,3,Own,Single-family home,Female,Public transit,71140,11.17241910219308
43,Master's,Healthcare,4,Urban,1,Married,Full-time,7,Rent,Apartment,Female,Walking,175474,12.075251861598622
43,Master's,Education,4,Rural,44,Married,Self-employed,1,Own,Apartment,Female,Public transit,8127788,15.910799488817773
65,Doctorate,Technology,4,Urban,21,Married,Self-employed,4,Rent,Apartment,Female,Car,73084,11.199378426323394
38,High School,Healthcare,0,Urban,36,Single,Full-time,3,Rent,Single-family home,Male,Public transit,4108639,15.228602631469542
56,High School,Technology,4,Urban,16,Married,Full-time,7,Own,Apartment,Female,Public transit,66018,11.097697858367294
53,Bachelor's,Others,5,Urban,31,Married,Full-time,6,Own,Townhouse,Female,Biking,74826,11.2229340613981
50,Master's,Healthcare,5,Suburban,37,Married,Self-employed,1,Rent,Single-family home,Male,Public transit,66846,11.110161704933725
47,Bachelor's,Technology,2,Urban,16,Single,Full-time,4,Own,Apartment,Female,Public transit,69132,11.14378746449706
54,Master's,Healthcare,3,Urban,33,Single,Part-time,2,Own,Single-family home,Female,Car,72978,11.197927007512344
40,Bachelor's,Education,1,Rural,6,Divorced,Part-time,7,Rent,Apartment,Male,Biking,241498,12.394620611279441
27,Master's,Healthcare,4,Urban,28,Married,Full-time,3,Rent,Apartment,Male,Biking,222885,12.314415708967152
22,Master's,Others,0,Suburban,16,Single,Self-employed,6,Own,Single-family home,Male,Car,67254,11.116246644142683
53,High School,Education,0,Urban,23,Divorced,Self-employed,4,Rent,Apartment,Male,Public transit,158110,11.971052596994834
51,Bachelor's,Finance,4,Rural,7,Single,Full-time,6,Rent,Apartment,Male,Car,69044,11.142513744919452
69,Bachelor's,Healthcare,3,Urban,22,Married,Full-time,4,Rent,Single-family home,Female,Public transit,478752,13.078940085775898
48,High School,Finance,5,Suburban,32,Married,Full-time,6,Own,Single-family home,Female,Public transit,66878,11.110640295493688
27,Bachelor's,Others,4,Urban,28,Single,Self-employed,3,Rent,Single-family home,Male,Car,843626,13.645465732764485
36,Bachelor's,Finance,0,Urban,18,Single,Full-time,4,Rent,Single-family home,Female,Public transit,67064,11.113417577336191
49,High School,Others,1,Urban,4,Married,Self-employed,6,Own,Single-family home,Male,Car,71464,11.176963098343215
18,Bachelor's,Healthcare,3,Urban,36,Married,Full-time,5,Own,Townhouse,Male,Biking,65586,11.09113278456206
22,Bachelor's,Technology,4,Urban,22,Single,Full-time,5,Rent,Apartment,Female,Car,175610,12.076026600590222
62,High School,Technology,1,Urban,25,Single,Part-time,2,Own,Apartment,Female,Public transit,67696,11.122797144772276
21,Bachelor's,Technology,4,Rural,23,Divorced,Full-time,1,Own,Single-family home,Female,Biking,66478,11.104641387298265
33,High School,Others,3,Urban,20,Single,Self-employed,5,Own,Townhouse,Female,Car,66548,11.105693797414343
41,Master's,Healthcare,0,Urban,32,Single,Full-time,5,Own,Single-family home,Male,Biking,68902,11.140454997418148
33,High School,Healthcare,5,Urban,25,Married,Self-employed,2,Rent,Single-family home,Male,Biking,602583,13.308982353716146
19,Master's,Healthcare,5,Urban,9,Single,Self-employed,5,Own,Apartment,Female,Car,65018,11.082434813856512
66,Bachelor's,Others,3,Urban,41,Single,Self-employed,5,Own,Single-family home,Female,Biking,66822,11.109802611640422
45,High School,Others,2,Rural,28,Divorced,Full-time,7,Own,Single-family home,Female,Walking,560997,13.23747261943609
49,Bachelor's,Technology,5,Suburban,34,Divorced,Part-time,6,Own,Single-family home,Male,Biking,66440,11.104069614787955
44,Bachelor's,Technology,4,Urban,27,Single,Full-time,3,Rent,Apartment,Female,Biking,277160,12.532353843759054
37,Bachelor's,Technology,1,Urban,11,Married,Self-employed,7,Rent,Single-family home,Female,Car,65528,11.090248071730931
41,Bachelor's,Technology,1,Urban,43,Married,Full-time,2,Own,Single-family home,Male,Public transit,106368,11.57466946005458
29,Bachelor's,Healthcare,5,Urban,6,Married,Full-time,4,Rent,Apartment,Male,Walking,2097868,14.556432625569448
67,High School,Technology,3,Urban,15,Married,Self-employed,4,Own,Single-family home,Female,Car,70388,11.161792279937831
52,High School,Technology,3,Suburban,19,Single,Full-time,1,Rent,Apartment,Female,Public transit,62559,11.043881375219193
50,Master's,Technology,3,Urban,28,Single,Full-time,7,Own,Apartment,Male,Walking,67924,11.126159434294548
50,Bachelor's,Healthcare,1,Rural,34,Married,Part-time,1,Rent,Single-family home,Male,Public transit,504237,13.130803657813903
68,Bachelor's,Finance,0,Urban,27,Married,Self-employed,5,Rent,Townhouse,Female,Car,73768,11.208693868140543
60,Master's,Finance,1,Urban,6,Married,Full-time,5,Own,Apartment,Female,Biking,65972,11.097000846398958
54,Bachelor's,Technology,0,Rural,21,Single,Self-employed,4,Own,Single-family home,Male,Public transit,68376,11.132791789753535
29,Master's,Finance,3,Urban,13,Single,Full-time,2,Own,Townhouse,Female,Car,131230,11.784714408070093
20,Bachelor's,Technology,2,Urban,35,Married,Self-employed,7,Rent,Townhouse,Female,Biking,68274,11.131298946341905
18,High School,Technology,1,Urban,9,Married,Full-time,3,Own,Apartment,Female,Biking,66600,11.106474871430772
50,Master's,Education,3,Urban,1,Single,Full-time,6,Rent,Single-family home,Female,Public transit,771537,13.556141204271018
57,Bachelor's,Finance,1,Urban,21,Married,Self-employed,1,Own,Apartment,Male,Public transit,39667,10.588300096306016
27,Master's,Technology,3,Urban,15,Married,Full-time,5,Own,Apartment,Female,Biking,66450,11.104220112937112
60,High School,Technology,1,Urban,34,Single,Full-time,1,Own,Single-family home,Male,Public transit,67218,11.115711224643595
61,Bachelor's,Technology,4,Suburban,46,Single,Full-time,4,Own,Single-family home,Male,Car,70214,11.159317242402281
46,Master's,Finance,1,Urban,39,Single,Part-time,2,Rent,Apartment,Female,Biking,9686527,16.086246612125926
30,High School,Finance,4,Urban,47,Divorced,Full-time,7,Own,Single-family home,Male,Public transit,73848,11.209777746906438
29,Master's,Technology,0,Urban,10,Married,Full-time,4,Rent,Apartment,Male,Biking,849730,13.652675107790879
48,Bachelor's,Finance,1,Urban,42,Married,Full-time,3,Own,Single-family home,Male,Car,1059121,13.872950820969903
63,Bachelor's,Technology,0,Urban,42,Married,Full-time,2,Rent,Apartment,Female,Car,69868,11.154377339149814
19,Bachelor's,Others,2,Urban,32,Single,Part-time,3,Own,Apartment,Female,Public transit,5532664,15.526180174231262
68,Master's,Finance,5,Urban,33,Single,Self-employed,3,Own,Apartment,Male,Biking,82327,11.318466547515927
67,High School,Healthcare,5,Urban,32,Married,Part-time,2,Own,Apartment,Female,Biking,2053628,14.535119029982017
52,High School,Finance,4,Suburban,18,Married,Full-time,3,Rent,Townhouse,Male,Biking,74294,11.215798933690447
40,Master's,Technology,1,Suburban,19,Single,Part-time,1,Rent,Single-family home,Male,Public transit,3960902,15.191982587538735
34,Master's,Others,5,Urban,9,Single,Full-time,5,Own,Townhouse,Male,Public transit,74560,11.2193728612867
43,High School,Finance,0,Urban,18,Married,Self-employed,2,Rent,Single-family home,Male,Car,67902,11.125835495192266
25,Bachelor's,Healthcare,5,Urban,42,Married,Part-time,4,Own,Single-family home,Female,Public transit,69962,11.155721809859802
46,Bachelor's,Education,5,Urban,11,Single,Full-time,4,Rent,Single-family home,Female,Biking,67130,11.114401213291382
43,Bachelor's,Technology,3,Urban,9,Married,Full-time,5,Rent,Apartment,Female,Biking,72278,11.188288909524681
27,High School,Finance,5,Rural,6,Divorced,Part-time,4,Own,Apartment,Female,Car,70130,11.158120200662147
43,Bachelor's,Finance,0,Urban,39,Single,Part-time,5,Own,Single-family home,Male,Public transit,33186,10.409913511957432
51,High School,Education,5,Rural,10,Married,Full-time,1,Own,Single-family home,Male,Walking,65326,11.087160706070168
68,Master's,Technology,1,Urban,49,Married,Full-time,7,Own,Townhouse,Female,Biking,74294,11.215798933690447
58,Master's,Technology,5,Urban,15,Single,Part-time,7,Rent,Single-family home,Female,Car,165431,12.016315513233597
24,Bachelor's,Healthcare,2,Urban,32,Married,Full-time,4,Rent,Single-family home,Female,Public transit,2657918,14.793054043750352
21,High School,Healthcare,5,Suburban,37,Married,Part-time,4,Rent,Single-family home,Male,Car,42163,10.64932205537508
70,High School,Education,4,Urban,16,Married,Full-time,1,Rent,Townhouse,Female,Biking,33942,10.432437926160665
67,Bachelor's,Healthcare,3,Urban,44,Single,Full-time,4,Rent,Apartment,Female,Public transit,410272,12.924578070756835
62,Master's,Healthcare,0,Urban,24,Married,Full-time,4,Rent,Apartment,Male,Biking,1435138,14.176772266596332
28,Bachelor's,Healthcare,5,Suburban,41,Married,Part-time,1,Own,Apartment,Male,Car,2262913,14.632163921242208
46,Bachelor's,Others,5,Suburban,30,Single,Full-time,6,Own,Apartment,Male,Biking,1349066,14.114923800376127
53,Bachelor's,Healthcare,1,Urban,41,Single,Part-time,1,Own,Single-family home,Female,Car,68502,11.134632818911754
42,Bachelor's,Healthcare,1,Urban,0,Divorced,Part-time,6,Own,Townhouse,Male,Walking,69716,11.152199469448275
38,High School,Healthcare,4,Rural,38,Married,Part-time,1,Own,Apartment,Female,Biking,38792,10.565995096963961
53,High School,Technology,3,Suburban,19,Married,Self-employed,7,Rent,Single-family home,Male,Car,4228472,15.257351492941034
27,High School,Technology,0,Urban,8,Single,Self-employed,6,Rent,Townhouse,Male,Public transit,71978,11.18412968878853
54,Bachelor's,Healthcare,0,Suburban,42,Married,Part-time,4,Rent,Townhouse,Female,Public transit,70516,11.16360909448382
26,Master's,Technology,0,Urban,1,Single,Part-time,5,Rent,Apartment,Male,Public transit,8305548,15.93243440360088
41,Master's,Finance,4,Urban,0,Single,Full-time,6,Own,Single-family home,Male,Car,66950,11.11171628752756
52,High School,Education,4,Urban,43,Divorced,Self-employed,5,Own,Apartment,Male,Car,65502,11.089851222101203
66,High School,Technology,5,Urban,38,Single,Self-employed,7,Rent,Single-family home,Male,Car,66580,11.106174530541606
52,High School,Technology,3,Suburban,50,Married,Part-time,2,Own,Apartment,Male,Public transit,66760,11.108874356692946
65,Bachelor's,Healthcare,0,Urban,4,Married,Full-time,2,Rent,Apartment,Female,Public transit,66818,11.109742750219594
53,Bachelor's,Finance,0,Urban,11,Married,Part-time,7,Own,Apartment,Male,Biking,66784,11.109233783411206
35,Bachelor's,Finance,5,Suburban,13,Married,Full-time,4,Rent,Single-family home,Female,Car,958967,13.773612985217087
66,High School,Technology,3,Suburban,38,Married,Full-time,4,Own,Apartment,Male,Biking,71568,11.178417298300252
56,High School,Education,3,Urban,31,Married,Part-time,5,Rent,Apartment,Female,Biking,8419355,15.946043898732846
49,High School,Others,3,Urban,39,Single,Self-employed,3,Rent,Apartment,Male,Public transit,107601,11.586194513897674
41,High School,Technology,1,Suburban,45,Single,Full-time,7,Own,Apartment,Female,Biking,70458,11.162786259344898
40,Master's,Healthcare,3,Suburban,43,Single,Full-time,2,Own,Single-family home,Female,Public transit,68738,11.138072002727451
49,High School,Education,2,Suburban,8,Single,Full-time,5,Own,Single-family home,Male,Walking,279628,12.541219003562714
54,Bachelor's,Technology,4,Urban,41,Single,Self-employed,4,Own,Townhouse,Female,Car,3330183,15.018538115685367
29,Bachelor's,Finance,3,Urban,41,Single,Part-time,2,Own,Single-family home,Female,Public transit,67200,11.1154434073529
66,Master's,Education,1,Suburban,32,Single,Part-time,2,Own,Apartment,Male,Public transit,6854057,15.740351443592735
30,Master's,Healthcare,2,Suburban,24,Single,Part-time,6,Rent,Townhouse,Female,Biking,3818906,15.155474813986553
40,Master's,Technology,1,Urban,37,Married,Part-time,2,Own,Apartment,Male,Public transit,68758,11.138362916051879
42,High School,Others,1,Urban,13,Single,Full-time,7,Rent,Apartment,Male,Walking,68596,11.136004080979289
52,Bachelor's,Healthcare,5,Suburban,8,Married,Full-time,4,Own,Single-family home,Male,Car,1175878,13.977526510990588
58,Master's,Finance,1,Urban,26,Married,Part-time,5,Own,Single-family home,Female,Public transit,31686,10.363661781116345
47,High School,Technology,1,Urban,43,Single,Full-time,3,Own,Single-family home,Male,Car,75436,11.231053149814608
34,Bachelor's,Finance,0,Urban,18,Single,Full-time,4,Rent,Apartment,Male,Walking,3839043,15.160733935235307
66,Master's,Technology,4,Urban,24,Married,Part-time,2,Own,Single-family home,Female,Car,71942,11.183629417797983
37,Bachelor's,Education,5,Urban,31,Divorced,Full-time,6,Own,Single-family home,Female,Biking,68864,11.139903345351431
65,High School,Technology,5,Urban,21,Single,Full-time,6,Own,Single-family home,Female,Biking,74898,11.223895818281337
42,High School,Others,0,Urban,28,Single,Full-time,7,Rent,Townhouse,Female,Walking,2936742,14.892811702095992
39,Bachelor's,Education,2,Rural,27,Single,Part-time,7,Rent,Single-family home,Female,Walking,72104,11.185878668996171
30,High School,Technology,0,Rural,43,Married,Full-time,1,Own,Single-family home,Male,Biking,67594,11.121289294798506
36,Bachelor's,Healthcare,5,Rural,12,Divorced,Full-time,5,Own,Single-family home,Male,Public transit,165006,12.01374317622526
66,Master's,Healthcare,2,Suburban,27,Married,Part-time,4,Own,Single-family home,Female,Public transit,65020,11.08246557362274
53,High School,Finance,5,Urban,2,Married,Part-time,2,Rent,Single-family home,Female,Car,41515,10.63383417408518
29,Master's,Healthcare,3,Urban,29,Married,Full-time,7,Rent,Apartment,Male,Public transit,350894,12.768242312395977
58,Bachelor's,Finance,2,Urban,10,Single,Full-time,3,Own,Apartment,Male,Biking,73230,11.201374107567505
36,High School,Education,5,Urban,1,Married,Self-employed,6,Own,Single-family home,Female,Walking,72978,11.197927007512344
29,Master's,Others,0,Urban,49,Single,Full-time,2,Own,Apartment,Male,Car,68700,11.13751903414526
26,Master's,Healthcare,5,Urban,49,Single,Part-time,2,Rent,Apartment,Male,Public transit,82154,11.316362985885931
24,Bachelor's,Healthcare,0,Rural,8,Single,Self-employed,4,Rent,Apartment,Female,Public transit,107243,11.582861891169392
45,Master's,Healthcare,2,Urban,32,Married,Full-time,6,Rent,Apartment,Male,Public transit,915503,13.727230012284318
31,Master's,Finance,0,Urban,25,Married,Full-time,3,Own,Townhouse,Male,Biking,65314,11.086976997920663
48,Master's,Education,2,Urban,15,Married,Full-time,6,Rent,Apartment,Female,Car,65040,11.082773119257247
69,Bachelor's,Healthcare,1,Urban,24,Single,Full-time,1,Own,Apartment,Female,Public transit,74884,11.223708882426497
36,Master's,Others,4,Rural,0,Single,Full-time,6,Rent,Single-family home,Male,Car,68110,11.128894006259427
64,Doctorate,Others,2,Urban,20,Single,Part-time,6,Rent,Single-family home,Male,Public transit,68878,11.140106620993903
33,Master's,Finance,1,Urban,19,Single,Part-time,4,Rent,Townhouse,Male,Walking,74884,11.223708882426497
70,High School,Healthcare,1,Rural,4,Married,Self-employed,6,Own,Single-family home,Male,Biking,399394,12.897706181107324
22,Bachelor's,Education,1,Urban,16,Single,Full-time,5,Rent,Apartment,Male,Public transit,75392,11.230469711490029
52,Bachelor's,Finance,1,Urban,39,Married,Part-time,3,Rent,Apartment,Male,Public transit,2670547,14.797794252762571
29,High School,Technology,2,Urban,37,Married,Full-time,1,Own,Townhouse,Male,Public transit,61068,11.019759651431075
42,Doctorate,Healthcare,0,Suburban,0,Single,Full-time,1,Rent,Apartment,Female,Biking,74356,11.216633096750416
69,High School,Healthcare,1,Urban,12,Married,Full-time,3,Rent,Single-family home,Female,Car,140820,11.855244859311936
38,High School,Others,3,Suburban,17,Single,Part-time,5,Own,Single-family home,Male,Car,160610,11.986740571299935
53,Master's,Healthcare,1,Rural,3,Married,Self-employed,7,Own,Single-family home,Male,Car,4901426,15.40503694517303
70,Bachelor's,Finance,0,Urban,46,Married,Self-employed,2,Own,Townhouse,Male,Car,73066,11.199132107421278
40,High School,Technology,0,Urban,13,Married,Full-time,4,Own,Single-family home,Female,Biking,67216,11.115681470708637
33,Bachelor's,Finance,4,Suburban,47,Single,Full-time,7,Own,Single-family home,Female,Public transit,73748,11.208422714788103
56,Bachelor's,Technology,4,Urban,4,Married,Full-time,5,Rent,Townhouse,Female,Biking,115293,11.6552406667418
62,High School,Education,1,Rural,32,Married,Full-time,6,Rent,Apartment,Male,Public transit,70900,11.16903981679311
70,Doctorate,Education,1,Urban,25,Married,Full-time,1,Own,Single-family home,Female,Public transit,1524598,14.23724198262635
59,Bachelor's,Finance,5,Urban,3,Married,Full-time,6,Own,Townhouse,Male,Public transit,74470,11.218165066840665
56,Bachelor's,Education,5,Urban,29,Single,Full-time,5,Own,Single-family home,Female,Public transit,70462,11.16284302833769
31,Bachelor's,Finance,4,Urban,16,Married,Full-time,2,Rent,Single-family home,Male,Biking,2479312,14.723492063636078
48,Bachelor's,Technology,1,Urban,27,Married,Full-time,6,Own,Townhouse,Male,Public transit,434276,12.981437858336296
22,High School,Technology,5,Suburban,5,Divorced,Part-time,5,Rent,Apartment,Male,Car,135880,11.819534781682234
52,High School,Education,3,Urban,26,Single,Part-time,5,Own,Townhouse,Male,Public transit,70764,11.16711980716794
40,Bachelor's,Healthcare,2,Suburban,35,Single,Self-employed,6,Own,Townhouse,Male,Car,73216,11.201182913422926
46,Master's,Finance,4,Urban,6,Divorced,Full-time,1,Rent,Single-family home,Female,Public transit,972583,13.787711726065941
60,High School,Healthcare,4,Urban,0,Single,Full-time,5,Own,Apartment,Male,Public transit,70974,11.170082981341173
28,Bachelor's,Others,0,Suburban,9,Married,Full-time,6,Own,Apartment,Male,Car,765409,13.548166916952411
35,Master's,Others,1,Rural,12,Single,Full-time,4,Rent,Single-family home,Male,Car,180011,12.100778794316891
64,High School,Healthcare,4,Suburban,40,Single,Part-time,3,Own,Apartment,Female,Car,949028,13.763194635607777
29,High School,Healthcare,4,Suburban,31,Single,Full-time,6,Rent,Single-family home,Male,Biking,277533,12.533698727185877
26,Bachelor's,Education,5,Urban,13,Married,Part-time,7,Own,Single-family home,Male,Car,803474,13.596701349798868
27,Bachelor's,Others,3,Suburban,32,Single,Part-time,1,Rent,Single-family home,Male,Biking,31253,10.349902646973247
61,High School,Education,1,Urban,29,Single,Part-time,3,Rent,Apartment,Female,Car,69296,11.146156894197663
34,Bachelor's,Education,2,Urban,8,Single,Part-time,5,Own,Apartment,Female,Biking,109693,11.60544995014582
55,Bachelor's,Finance,3,Urban,5,Single,Part-time,2,Rent,Townhouse,Male,Car,116595,11.666470246992764
24,Bachelor's,Healthcare,2,Suburban,9,Married,Part-time,6,Own,Single-family home,Male,Car,1367591,14.128562087066529
63,High School,Education,0,Urban,10,Single,Part-time,6,Rent,Apartment,Male,Public transit,1898623,14.456639971243229
30,Bachelor's,Healthcare,4,Urban,38,Single,Part-time,1,Own,Apartment,Female,Biking,73332,11.202765991201513
57,Master's,Technology,5,Urban,19,Single,Full-time,5,Rent,Single-family home,Female,Biking,2969222,14.903810860389788
59,Master's,Healthcare,3,Urban,24,Married,Full-time,5,Rent,Apartment,Female,Public transit,216097,12.283487287477602
26,Master's,Technology,2,Suburban,11,Single,Full-time,2,Rent,Apartment,Female,Car,315577,12.662161157032344
67,Bachelor's,Others,1,Urban,21,Married,Full-time,5,Rent,Single-family home,Female,Public transit,418597,12.944666311151758
44,Bachelor's,Technology,0,Urban,11,Single,Self-employed,4,Own,Townhouse,Female,Biking,382099,12.853437633434991
19,Bachelor's,Technology,0,Urban,13,Single,Full-time,7,Own,Single-family home,Male,Biking,72936,11.197351333821182
22,High School,Healthcare,4,Urban,41,Married,Full-time,2,Own,Apartment,Male,Car,75286,11.229062756121223
46,High School,Education,4,Urban,47,Divorced,Full-time,1,Own,Apartment,Female,Biking,67702,11.122885771064801
54,Bachelor's,Healthcare,2,Urban,35,Single,Self-employed,1,Own,Apartment,Male,Car,65850,11.095149893084974
55,High School,Technology,2,Urban,13,Married,Full-time,3,Rent,Apartment,Male,Walking,33104,10.407439607358947
36,High School,Healthcare,0,Urban,1,Married,Full-time,4,Rent,Single-family home,Male,Biking,2283872,14.641383244008914
25,Doctorate,Healthcare,2,Suburban,1,Married,Part-time,6,Rent,Single-family home,Female,Biking,405190,12.91211383985629
65,High School,Healthcare,4,Rural,42,Married,Part-time,4,Rent,Apartment,Male,Public transit,73068,11.199159479184567
62,High School,Education,0,Urban,42,Married,Part-time,7,Rent,Single-family home,Female,Biking,120270,11.697502808895521
18,High School,Technology,0,Urban,5,Divorced,Part-time,1,Own,Single-family home,Female,Biking,6030812,15.612392385485824
39,Bachelor's,Technology,1,Suburban,24,Divorced,Part-time,5,Rent,Townhouse,Female,Car,73926,11.210833398801787
69,Bachelor's,Healthcare,1,Urban,2,Married,Full-time,7,Rent,Single-family home,Female,Biking,69508,11.149211519571827
34,Bachelor's,Technology,2,Urban,22,Married,Full-time,6,Rent,Apartment,Female,Car,500243,13.122851258371053
24,Bachelor's,Technology,2,Urban,8,Married,Self-employed,4,Own,Townhouse,Male,Public transit,71312,11.174833917973366
42,Master's,Technology,4,Rural,30,Single,Full-time,4,Own,Apartment,Male,Walking,75286,11.229062756121223
62,Master's,Finance,4,Urban,27,Married,Full-time,5,Own,Single-family home,Male,Public transit,63583,11.060117145351544
21,Doctorate,Education,1,Urban,24,Married,Part-time,7,Own,Single-family home,Male,Public transit,36391,10.50210424924984
53,Master's,Healthcare,0,Urban,34,Single,Part-time,2,Rent,Apartment,Female,Public transit,331574,12.711609307362554
23,Bachelor's,Technology,3,Urban,0,Married,Full-time,5,Rent,Apartment,Female,Public transit,71588,11.178696709861326
48,High School,Others,5,Urban,1,Divorced,Full-time,3,Rent,Apartment,Female,Biking,65062,11.083111310246144
36,High School,Technology,5,Urban,14,Single,Full-time,3,Own,Apartment,Male,Public transit,4699946,15.36306179002096
61,High School,Finance,3,Suburban,42,Married,Part-time,6,Own,Single-family home,Male,Walking,66416,11.103708326792335
56,Bachelor's,Finance,2,Urban,39,Single,Full-time,1,Own,Single-family home,Female,Biking,155552,11.954741788542888
44,Master's,Technology,5,Urban,15,Married,Full-time,2,Rent,Apartment,Female,Public transit,139391,11.845045386852577
27,Bachelor's,Technology,5,Urban,22,Married,Part-time,4,Rent,Townhouse,Female,Public transit,878775,13.686285309151529
43,High School,Education,3,Urban,48,Married,Self-employed,6,Own,Townhouse,Male,Public transit,72382,11.18972674417258
36,Bachelor's,Technology,3,Rural,34,Married,Self-employed,1,Own,Apartment,Male,Public transit,70312,11.160711982466704
56,Master's,Technology,1,Urban,7,Married,Self-employed,1,Rent,Apartment,Female,Biking,1722795,14.35945911035768
20,Bachelor's,Finance,0,Urban,6,Married,Full-time,6,Own,Single-family home,Female,Public transit,67062,11.113387755076854
62,Master's,Education,4,Urban,20,Married,Self-employed,6,Own,Apartment,Female,Biking,70776,11.167289368146712
30,Master's,Healthcare,1,Urban,34,Married,Part-time,4,Own,Townhouse,Male,Car,73808,11.20923595437263
67,Master's,Finance,5,Rural,38,Divorced,Self-employed,4,Rent,Single-family home,Female,Biking,75468,11.231477254892996
45,Master's,Technology,4,Urban,36,Single,Full-time,5,Rent,Single-family home,Female,Public transit,70834,11.168108507813452
37,Master's,Others,1,Urban,32,Single,Full-time,7,Own,Single-family home,Female,Car,73682,11.207527386712668
45,High School,Education,1,Urban,36,Married,Full-time,3,Own,Apartment,Female,Public transit,67038,11.113029818576933
25,High School,Healthcare,3,Suburban,34,Married,Self-employed,4,Own,Single-family home,Male,Car,72748,11.194770439234798
58,Bachelor's,Healthcare,4,Urban,17,Divorced,Full-time,5,Own,Single-family home,Male,Walking,75368,11.230151328871031
56,High School,Finance,1,Urban,18,Single,Self-employed,7,Rent,Single-family home,Male,Biking,74916,11.224136113044068
18,Doctorate,Healthcare,3,Urban,9,Married,Full-time,3,Own,Apartment,Female,Public transit,71036,11.170956147044622
20,High School,Others,2,Rural,3,Married,Full-time,2,Own,Townhouse,Female,Walking,64926,11.081018840831232
30,Master's,Healthcare,4,Urban,29,Married,Part-time,2,Own,Apartment,Female,Walking,67234,11.115949224257971
45,Bachelor's,Others,1,Urban,44,Married,Part-time,2,Own,Apartment,Male,Walking,74496,11.21851413510048
66,Bachelor's,Finance,5,Urban,32,Single,Full-time,4,Own,Apartment,Male,Public transit,69718,11.152228156444462
42,Master's,Others,2,Urban,3,Married,Self-employed,3,Rent,Townhouse,Female,Car,167419,12.028260904214047
50,Bachelor's,Healthcare,3,Urban,8,Married,Self-employed,6,Rent,Apartment,Female,Biking,70312,11.160711982466704
55,Bachelor's,Technology,1,Urban,16,Married,Full-time,7,Own,Apartment,Female,Public transit,74062,11.212671361343652
70,High School,Healthcare,5,Urban,42,Married,Self-employed,3,Own,Apartment,Male,Car,74500,11.218567827096358
23,Bachelor's,Healthcare,3,Urban,38,Married,Full-time,2,Own,Townhouse,Male,Car,66186,11.100239348018722
61,High School,Education,3,Urban,23,Single,Part-time,1,Own,Townhouse,Male,Car,70400,11.161962746590705
62,Bachelor's,Finance,5,Urban,38,Married,Full-time,3,Rent,Single-family home,Male,Biking,74698,11.221221984150446
49,Bachelor's,Healthcare,3,Urban,12,Single,Full-time,3,Own,Apartment,Male,Car,66384,11.103226406330002
62,Master's,Others,4,Suburban,25,Single,Full-time,5,Own,Apartment,Female,Public transit,3799344,15.150339241418418
64,Master's,Healthcare,2,Urban,18,Married,Full-time,2,Own,Townhouse,Female,Car,67726,11.123240197709581
38,Bachelor's,Education,2,Urban,16,Married,Full-time,7,Own,Apartment,Male,Public transit,7926737,15.885752159677265
33,Bachelor's,Healthcare,0,Suburban,49,Married,Full-time,1,Own,Apartment,Female,Walking,70986,11.17025204066731
38,Master's,Finance,1,Urban,29,Married,Part-time,5,Own,Apartment,Male,Public transit,73856,11.209886070197406
28,Bachelor's,Healthcare,3,Urban,25,Married,Full-time,1,Own,Apartment,Female,Public transit,70198,11.159089344898197
54,Bachelor's,Others,1,Urban,12,Single,Full-time,6,Own,Townhouse,Female,Car,66296,11.101899926281416
53,Bachelor's,Technology,2,Urban,48,Divorced,Full-time,1,Rent,Apartment,Female,Public transit,4386989,15.294153900683707
52,Master's,Others,2,Urban,17,Divorced,Full-time,6,Own,Townhouse,Female,Public transit,72718,11.194357977381673
36,Bachelor's,Healthcare,3,Urban,20,Married,Full-time,1,Rent,Single-family home,Male,Biking,332874,12.715522323116234
37,Bachelor's,Technology,4,Urban,33,Single,Full-time,4,Rent,Apartment,Male,Walking,606300,13.31513184140697
35,Bachelor's,Technology,5,Suburban,50,Married,Self-employed,3,Own,Townhouse,Male,Walking,209662,12.253256758785238
64,Bachelor's,Finance,3,Urban,46,Single,Full-time,3,Own,Single-family home,Female,Public transit,160961,11.988923591263632
58,High School,Education,3,Suburban,8,Married,Full-time,5,Rent,Single-family home,Female,Public transit,71222,11.173571078943777
66,Bachelor's,Others,0,Rural,29,Single,Full-time,7,Own,Apartment,Female,Car,1055994,13.86999400838865
31,Master's,Healthcare,5,Urban,28,Married,Full-time,6,Rent,Townhouse,Male,Public transit,69480,11.14880861288244
32,Doctorate,Finance,4,Suburban,28,Single,Full-time,1,Rent,Townhouse,Male,Walking,309481,12.642655211095656
48,Bachelor's,Education,1,Urban,45,Single,Part-time,7,Own,Single-family home,Male,Biking,66960,11.11186563934097
18,Bachelor's,Healthcare,5,Urban,18,Single,Part-time,1,Own,Single-family home,Male,Car,74764,11.222105140017945
70,High School,Education,4,Rural,7,Single,Full-time,3,Rent,Apartment,Female,Public transit,69022,11.142195061369517
20,Master's,Others,3,Urban,43,Married,Full-time,6,Rent,Single-family home,Male,Public transit,1659982,14.322317919316431
